objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,,sFr9kfq4zLw,,Nice ,"Beyoncé, Jay-Z; Pharrell Williams",2018-06-18,Nice by The Carters,nice; The Carters; Everything is Love,,,,,,Sound,audio/mp3,eng,,
coll002,,PLxA687tYuMWh6nSHDwrBJQfXPSXIoU8Ju,,Hope,Nathan Feuerstein,2023-04-07,Hope by NF,Hope; NF,,,,,,Sound,audio/mp3,eng,,
coll003,,HJuREtHr0Qg&list=RDHJuREtHr0Qg&start_radio=1,,Inkwekwezi,Ntsika Ngxanga; Luphindo Ngxanga; Buhlebendalo Mda,2015-11-13,Inkwekwezi by The Soil,Inkwekwezi; The Soil; Reflections,,,,,,Sound,audio/mp3,IsiXhosa,,
coll004,,lJvRohYSrZM,,METAMORPHOSIS,INTERWORLD,2021-11-25,METAMOTPHOSIS by INTERWORLD,,,,,,,Sound,audio/mp3,eng,,
coll005,,fFt0s7crDfo,,Hayloft,Mother Mother,2022-01-12,Hayloft by Mother Mother,,,,,,,Sound,audio/mp3,eng,,
coll006,,yHcBymQiNyU,,Gilded lily,Cults,2022-10-26,Gilded lily by Cults,,,,,,,Sound,audio/mp3,eng,,
coll007,,b0DU5uhoq-4,,Positive Vibration,Bob Marley & The Wailers written by Vincent Ford,1976,"Funk / Soul, Reggae, Roots Reggae, Rhythm & Blues",staying positive,"Harry J. Studios, Joe Gibbs Studio, Kingston, Jamaica",,,,,Sound,audio/mp3,eng,,
coll008,,f9wJBdFy6sQ,,Jesus Walks,"Kanye West, Che Smith, Miri Ben-Ari, Curtis Lundy",2004,"Hip-hop, gospel","spiritual exultation, how Jesus ""walks"" with all manner of people","Sony Music Studios, Light @ The End of the Tunnel, New York City",,,,,Sound,audio/mp3,eng,,
coll009,,7xzU9Qqdqww,,Pursuit Of Happiness ," Kid Cudi, Ratatat, MGMT",2009,"Neo-psychedelia, alternative hip hop, pop-rap ","drinking and driving, regret and pain associated with drug abuse ",,,,,,Sound,audio/mp3,eng,,
coll010,disciplinary-rules-for-students.pdf,,,DISCIPLINARY RULES FOR STUDENTS,"UNIVERSITY OF PRETORIA, Office of the Registrar",2023-01-23,University policy,Governance and Compliance,,,,UNIVERSITY OF PRETORIA,,text,pdf,eng,,
coll011,intellectual-property-policy.pdf,,,INTELLECTUAL PROPERTY POLICY,"UNIVERSITY OF PRETORIA, Office of the Registrar",2022-10-06,University policy,Research,,,,UNIVERSITY OF PRETORIA,,text,pdf,eng,,
coll012,anti-discrimination-policy.pdf,,,Anti-discrimination policy,"UNIVERSITY OF PRETORIA, Office of the Registrar",2019-08-17,University policy,Governance,,,,UNIVERSITY OF PRETORIA,,text,pdf,eng,,
